"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"23,3";"23,7";"23,3";"75,0";"76,0";"72,0";"18,7";"19,1";"18,3";"939,0";"939,0";"938,5";"0,3";"295,0";"1,1";"";"0,0"
"01/01/2022";"0100";"22,4";"23,3";"22,3";"83,0";"83,0";"75,0";"19,3";"19,3";"18,6";"939,3";"939,4";"939,0";"0,0";"287,0";"1,4";"";"0,2"
"01/01/2022";"0200";"22,2";"22,4";"22,0";"84,0";"84,0";"82,0";"19,3";"19,4";"19,2";"939,4";"939,5";"939,3";"0,4";"233,0";"1,8";"";"0,0"
"01/01/2022";"0300";"21,9";"22,3";"21,9";"84,0";"85,0";"82,0";"19,0";"19,3";"19,0";"938,7";"939,4";"938,7";"0,0";"298,0";"1,0";"";"0,0"
"01/01/2022";"0400";"21,6";"21,9";"21,6";"85,0";"85,0";"83,0";"19,0";"19,2";"18,9";"938,2";"938,7";"938,2";"0,2";"261,0";"1,9";"";"0,0"
"01/01/2022";"0500";"21,5";"21,7";"21,5";"84,0";"85,0";"84,0";"18,8";"19,1";"18,7";"938,1";"938,2";"938,1";"0,0";"203,0";"1,3";"";"0,0"
"01/01/2022";"0600";"21,3";"21,6";"21,3";"84,0";"85,0";"83,0";"18,4";"18,8";"18,4";"937,9";"938,1";"937,8";"0,3";"285,0";"0,8";"";"0,0"
"01/01/2022";"0700";"21,0";"21,3";"21,0";"85,0";"85,0";"84,0";"18,4";"18,7";"18,4";"938,3";"938,3";"937,9";"0,0";"296,0";"0,8";"";"0,0"
"01/01/2022";"0800";"21,2";"21,3";"21,0";"85,0";"86,0";"85,0";"18,7";"18,8";"18,4";"938,6";"938,6";"938,3";"0,0";"334,0";"0,6";"";"0,0"
"01/01/2022";"0900";"21,1";"21,2";"21,0";"86,0";"86,0";"85,0";"18,7";"18,7";"18,5";"939,1";"939,1";"938,6";"0,2";"57,0";"0,6";"24,50";"0,0"
"01/01/2022";"1000";"21,9";"21,9";"21,1";"85,0";"86,0";"85,0";"19,3";"19,3";"18,7";"939,8";"939,8";"939,1";"0,3";"109,0";"1,5";"257,50";"0,0"
"01/01/2022";"1100";"22,6";"22,6";"21,9";"81,0";"85,0";"81,0";"19,2";"19,4";"19,1";"940,4";"940,4";"939,8";"1,1";"48,0";"2,8";"467,20";"0,0"
"01/01/2022";"1200";"24,2";"24,2";"22,6";"72,0";"81,0";"70,0";"18,8";"19,5";"18,1";"940,7";"940,7";"940,4";"2,9";"51,0";"6,1";"1372,30";"0,0"
"01/01/2022";"1300";"25,3";"25,4";"24,0";"68,0";"72,0";"67,0";"18,9";"19,3";"17,9";"940,6";"940,7";"940,5";"2,9";"53,0";"6,5";"1683,80";"0,0"
"01/01/2022";"1400";"25,2";"26,2";"25,2";"65,0";"68,0";"62,0";"18,1";"19,2";"17,8";"940,3";"940,6";"940,2";"3,5";"45,0";"7,1";"2141,80";"0,0"
"01/01/2022";"1500";"26,2";"26,5";"25,2";"63,0";"65,0";"60,0";"18,6";"18,9";"17,7";"939,5";"940,3";"939,5";"3,7";"50,0";"7,1";"1976,30";"0,0"
